Date Value,Fiscal Year,MWD,LA Aqueduct,Local Groundwater,Recycled Water,Total Acre Feet,MWD % of Total,LA Aqueduct % of Total,Local Groundwater % of Total,Recycled Water % of Total
06/30/1970 12:00:00 AM,1969-70,146981,355422,83627,0,586030,25.1,60.6,14.3,0.0
06/30/1971 12:00:00 AM,1970-71,52194,454160,73847,0,580201,9.0,78.3,12.7,0.0
06/30/1972 12:00:00 AM,1971-72,59852,469185,75033,0,604070,9.9,77.7,12.4,0.0
06/30/1973 12:00:00 AM,1972-73,32766,458726,79726,0,571218,5.7,80.3,14.0,0.0
06/30/1974 12:00:00 AM,1973-74,25525,460942,76517,0,562984,4.5,81.9,13.6,0.0
06/30/1975 12:00:00 AM,1974-75,32611,459655,76253,0,568519,5.7,80.9,13.4,0.0
06/30/1976 12:00:00 AM,1975-76,25197,475577,118203,0,618977,4.1,76.8,19.1,0.0
06/30/1977 12:00:00 AM,1976-77,108689,333376,132280,0,574345,18.9,58.0,23.0,0.0
06/30/1978 12:00:00 AM,1977-78,45899,361356,92738,0,499993,9.2,72.3,18.5,0.0
06/30/1979 12:00:00 AM,1978-79,18661,504325,68574,0,591560,3.2,85.3,11.6,0.0
06/30/1982 12:00:00 AM,1981-82,34556,466293,112266,0,613115,5.6,76.1,18.3,0.0
06/30/1989 12:00:00 AM,1988-89,230149,327181,136376,0,693706,33.2,47.2,19.7,0.0
06/30/1990 12:00:00 AM,1989-90,382443,206215,93883,0,682541,56.0,30.2,13.8,0.0
06/30/2000 12:00:00 AM,1999-00,239953,293075,126649,1984,661661,36.3,44.3,19.1,0.3
06/30/1988 12:00:00 AM,1987-88,151287,416402,121170,0,688859,22.0,60.4,17.6,0.0
06/30/2014 12:00:00 AM,2013-14,441991,61024,79403,10054,592472,74.6,10.3,13.4,1.7
06/30/2006 12:00:00 AM,2005-06,208888,368878,50620,1417,629803,33.2,58.6,8.0,0.2
06/30/2009 12:00:00 AM,2008-09,433995,108503,61619,7906,612023,70.9,17.7,10.1,1.3
06/30/1991 12:00:00 AM,1990-91,386043,130325,91399,0,607767,63.5,21.4,15.0,0.0
06/30/2015 12:00:00 AM,2014-15,362654,57716,90438,10421,521229,69.6,11.1,17.4,2.0
06/30/2016 12:00:00 AM,2015-16,339975,57853,79056,9913,486797,69.8,11.9,16.2,2.0
06/30/1980 12:00:00 AM,1979-80,21056,495267,75743,0,592066,3.6,83.7,12.8,0.0
06/30/1996 12:00:00 AM,1995-96,63892,466584,71083,2020,603579,10.6,77.3,11.8,0.3
06/30/2005 12:00:00 AM,2004-05,250689,297828,66792,1500,616809,40.6,48.3,10.8,0.2
06/30/1983 12:00:00 AM,1982-83,25447,511501,86885,0,623833,4.1,82.0,13.9,0.0
06/30/1986 12:00:00 AM,1985-86,81855,492757,104685,0,679297,12.0,72.5,15.4,0.0
06/30/1997 12:00:00 AM,1996-97,73314,445400,109826,1747,630287,11.6,70.7,17.4,0.3
06/30/1993 12:00:00 AM,1992-93,286301,233082,60149,192,579724,49.4,40.2,10.4,0.0
06/30/1994 12:00:00 AM,1993-94,347847,213333,30453,1301,592934,58.7,36.0,5.1,0.2
06/30/2007 12:00:00 AM,2006-07,295380,277817,92899,5151,671247,44.0,41.4,13.8,0.8
06/30/1992 12:00:00 AM,1991-92,291890,176888,94760,0,563538,51.8,31.4,16.8,0.0
06/30/1981 12:00:00 AM,1980-81,45732,488333,95252,0,629317,7.3,77.6,15.1,0.0
06/30/2002 12:00:00 AM,2001-02,363669,228224,69660,1907,663460,54.8,34.4,10.5,0.3
06/30/1998 12:00:00 AM,1997-98,95857,396519,98932,1449,592757,16.2,66.9,16.7,0.2
06/30/1995 12:00:00 AM,1994-95,222755,275511,101093,1306,600665,37.1,45.9,16.8,0.2
06/30/2010 12:00:00 AM,2009-10,260774,199739,76982,6703,544198,47.9,36.7,14.1,1.2
06/30/2013 12:00:00 AM,2012-13,388462,113411,58811,7513,568197,68.4,20.0,10.4,1.3
06/30/2003 12:00:00 AM,2002-03,362232,203372,87505,1635,654744,55.3,31.1,13.4,0.2
06/30/2004 12:00:00 AM,2003-04,367251,224728,92497,2053,686529,53.5,32.7,13.5,0.3
06/30/2017 12:00:00 AM,2016-17,216299,224724,50439,8032,499494,43.3,45.0,10.1,1.6
06/30/2012 12:00:00 AM,2011-12,210438,266634,61060,6850,544982,38.6,48.9,11.2,1.3
06/30/1984 12:00:00 AM,1983-84,29102,531729,115795,0,676626,4.3,78.6,17.1,0.0
06/30/1985 12:00:00 AM,1984-85,49217,468081,119386,0,636684,7.7,73.5,18.8,0.0
06/30/2011 12:00:00 AM,2010-11,166452,307692,49354,7894,531392,31.3,57.9,9.3,1.5
06/30/2001 12:00:00 AM,2000-01,334976,238747,85077,2082,660882,50.7,36.1,12.9,0.3
06/30/1987 12:00:00 AM,1986-87,127946,478787,99217,0,705950,18.1,67.8,14.1,0.0
06/30/1999 12:00:00 AM,1998-99,67961,424499,125381,1596,619437,11.0,68.5,20.2,0.3
06/30/2018 12:00:00 AM,2017-18,182706,307671,21760,9778,521915,35.0,59.0,4.2,1.9
06/30/2008 12:00:00 AM,2007-08,420961,151506,73314,4181,649962,64.8,23.3,11.3,0.6
